artist|song_name|lyrics|genre
taylorswift|Tim McGraw|He said the way my blue eyes shined Put those Georgia stars to shame that night I said, "That's a lie" Just a boy in a Chevy truck That had a tendency of gettin' stuck On back roads at night And I was right there beside him all summer long And then the time we woke up to find that summer gone  But when you think Tim McGraw I hope you think my favorite song The one we danced to all night long The moon like a spotlight on the lake When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me  September saw a month of tears And thankin' God that you weren't here To see me like that But in a box beneath my bed Is a letter that you never read From three summers back It's hard not to find it all a little bitter sweet And lookin' back on all of that, it's nice to believe  When you think Tim McGraw I hope you think my favorite song The one we danced to all night long The moon like a spotlight on the lake When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me  And I'm back for the first time since then I'm standin' on your street And there's a letter left on your doorstep And the first thing that you'll read is:  When you think Tim McGraw I hope you think my favorite song Someday you'll turn your radio on I hope it takes you back to that place When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me  Oh, think of me Mmmm  He said the way my blue eyes shined Put those Georgia stars to shame that night I said, "That's a lie"|Country
taylorswift|Picture to Burn|State the obvious, I didn't get my perfect fantasy I realize you love yourself more than you could ever love me So go and tell your friends that I'm obsessive and crazy <i>[Album version line:]</i> That's fine I'll tell mine that you're gay! <i>[Music video version line:]</i> That's fine you won't mind if I say By the way...  I hate that stupid old pickup truck You never let me drive You're a redneck heartbreak Who's really bad at lying So watch me strike a match On all my wasted time As far as I'm concerned You're just another picture to burn!  There's no time for tears I'm just sitting here planning my revenge There's nothing stopping me From going out with all of your best friends And if you come around saying sorry to me My daddy's gonna show you how sorry you'll be  'Cause I hate that stupid old pickup truck You never let me drive You're a redneck heartbreak Who's really bad at lying So watch me strike a match On all my wasted time As far as I'm concerned You're just another picture to burn!  And if you're missing me You'd better keep it to yourself 'Cause coming back around here Would be bad for your health...  'Cause I hate that stupid old pickup truck You never let me drive You're a redneck heartbreak Who's really bad at lying So watch me strike a match On all my wasted time In case you haven't heard I really really hate that...  I hate that stupid old pickup truck You never let me drive You're a redneck heartbreak Who's really bad at lying So watch me strike a match On all my wasted time As far as I'm concerned You're just another picture to burn!  Burn, burn, burn, baby, burn You're just another picture to burn Baby, burn...|Pop
taylorswift|Teardrops on My Guitar|Drew looks at me I fake a smile so he won't see That I want and I'm needing Everything that we should be  I'll bet she's beautiful, that girl he talks about And she's got everything that I have to live without  Drew talks to me I laugh 'cause it's just so funny That I can't even see Anyone when he's with me  He says he's so in love, he's finally got it right I wonder if he knows he's all I think about at night  He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing. Don't know why I do  Drew walks by me Can he tell that I can't breathe? And there he goes, so perfectly The kind of flawless I wish I could be  She better hold him tight, give him all her love Look in those beautiful eyes and know she's lucky 'cause  He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing. Don't know why I do  So, I drive home alone As I turn out the light I'll put his picture down And maybe get some sleep tonight  'Cause he's the reason for the teardrops on my guitar The only one who's got enough of me to break my heart He's the song in the car I keep singing. Don't know why I do  He's the time taken up, but there's never enough And he's all that I need to fall into  Drew looks at me I fake a smile so he won't see|Country
taylorswift|A Place in This World|I don't know what I want, so don't ask me Cause I'm still trying to figure it out Don't know what's down this road, I'm just walking Trying to see through the rain coming down Even though I'm not the only one Who feels the way I do  <i>[Chorus:]</i> I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world  Got the radio on, my old blue jeans And I'm wearing my heart on my sleeve Feeling lucky today, got the sunshine Could you tell me what more do I need And tomorrow's just a mystery, oh yeah But that's ok  <i>[Chorus]</i>  Maybe I'm just a girl on a mission But I'm ready to fly  I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh I'm alone, on my own, and that's all I know Oh I'm just a girl, trying to find a place in this world  Oh I'm just a girl Oh I'm just a girl, oh, oh, Oh I'm just a girl|Country
taylorswift|Cold as You|You have a way of coming easily to me And when you take, you take the very best of me So I start a fight 'cause I need to feel something And you do what you want 'cause I'm not what you wanted  Oh, what a shame, what a rainy ending given to a perfect day Just walk away, no use defending words that you will never say And now that I'm sitting here thinking it through I've never been anywhere cold as you  You put up walls and paint them all a shade of gray And I stood there loving you and wished them all away And you come away with a great little story Of a mess of a dreamer with the nerve to adore you  Oh, what a shame, what a rainy ending given to a perfect day So, just walk away, no use defending words that you will never say And now that I'm sitting here thinking it through I've never been anywhere cold as you  You never did give a damn thing, honey, but I cried, cried for you And I know you wouldn't have told nobody if I died, died for you, died for you  Oh, what a shame, what a rainy ending given to a perfect day Every smile you fake is so condescending counting all the scars you made And now that I'm sitting here thinking it through I've never been anywhere cold as you|Country
taylorswift|The Outside|I didn't know what I would find When I went looking for a reason, I know I didn't read between the lines And, baby, I've got nowhere to go  I tried to take the road less traveled by But nothing seems to work the first few times Am I right?  So how can I ever try to be better? Nobody ever lets me in I can still see you. This ain't the best view On the outside looking in And I've been a lot of lonely places I've never been on the outside  You saw me there, but never knew That I would give it all up to be A part of this, a part of you. And now it's all too late. So you see...  You could've helped if you had wanted to But no one notices until it's too late to do anything  So how can I ever try to be better? Nobody ever lets me in I can still see you. This ain't the best view On the outside looking in And I've been a lot of lonely places I've never been on the outside  Oh, yeah  So how can I ever try to be better? Nobody ever lets me in And I can still see you. This ain't the best view On the outside looking in And I've been a lot of lonely places I've never been on the outside|Country
taylorswift|Tied Together With a Smile|Seems the only one who doesn't see your beauty Is the face in the mirror looking back at you You walk around here thinking you're not pretty But that's not true 'cause I know you  Hold on, baby, you're losing it The water's high, you're jumping into it And letting go And no one knows That you cry, but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone  I guess it's true that love was all you wanted 'Cause you're giving it away like it's extra change Hoping it will end up in his pocket But he leaves you out like a penny in the rain  Oh, 'cause it's not his price to pay It's not his price to pay  Hold on, baby, you're losing it The water's high, you're jumping into it And letting go And no one knows That you cry, but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone  Hold on, baby, you're losing it The water's high, you're jumping into it And letting go And no one knows That you cry, but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone  You're tied together with a smile But you're coming undone Goodbye, baby With a smile, baby, baby|Country
taylorswift|Stay Beautiful|Cory's eyes are like a jungle He smiles, it's like the radio He whispers songs into my window In words that nobody knows There's pretty girls on every corner That watch him as he's walking home Saying, "Does he know?" Will you ever know?  <i>[Chorus:]</i> You're beautiful Every little piece love And don't you know You're really gonna be someone Ask anyone And when you find everything you looked for I hope your life leads you back to my door Oh, but if it don't Stay beautiful  Cory finds another way to be The highlight of my day I'm taking pictures in my mind So I can save them for a rainy day It's hard to make a conversation When he's taking my breath away I should say, hey, by the way  <i>[Chorus]</i>  If you and I are a story That never gets told If what you are is a daydream I'll never get to hold At least you'll know  You're beautiful Every little piece love And don't you know You're really gonna be someone Ask anyone And when you find everything you looked for I hope your life leads you back to my front door Oh, but if it don't Will you stay Beautiful, beautiful, beautiful Beautiful, beautiful, beautiful La la la Oh, oh, oh, oh Oh, but if it don't Stay beautiful Stay beautiful Na, na, na, na, na|Country
taylorswift|Should've Said No|It's strange to think the songs we used to sing The smiles, the flowers, everything is gone Yesterday I found out about you Even now just looking at you feels wrong  You say that you'd take it all back, given one chance It was a moment of weakness and you said, "Yes."  You should've said "No", you should've gone home You should've thought twice 'fore you let it all go You should've known that word 'Bout what you did with her'd Get back to me (get back to me). And I should've been there in the back of your mind I shouldn't be asking myself, "Why?" You shouldn't be begging for forgiveness at my feet... You should've said "No", baby, and you might still have me  You can see that I've been crying And baby, you know all the right things to say But do you honestly expect me to believe We could ever be the same?  You say that the past is the past, you need one chance It was a moment of weakness and you said, "Yes."  You should've said "No", you should've gone home You should've thought twice 'fore you let it all go You should've known that word 'Bout what you did with her'd, Get back to me (get back to me). And I should've been there in the back of your mind I shouldn't be asking myself, "Why?" You shouldn't be begging for forgiveness at my feet... You should've said "No", baby, and you might still have me  I can't resist Before you go, tell me this: Was it worth it? Was she worth this?  No... no, no, no...  You should've said "No", you should've gone home You should've thought twice 'fore you let it all go You should've known that word 'Bout what you did with her'd, Get back to me (get back to me). And I should've been there in the back of your mind I shouldn't be asking myself, "Why?" You shouldn't be begging for forgiveness at my feet... You should've said "No", baby, and you might still have me|Country
taylorswift|Our Song|I was riding shotgun With my hair undone In the front seat of his car He's got a one-hand feel On the steering wheel The other on my heart I look around, turn the radio down He says, "Baby is something wrong?" I say, "Nothing I was just thinking How we don't have a song" And he says...  <i>[Chorus:]</i> Our song is the slamming screen door Sneakin' out late, tapping on your window When we're on the phone and you talk real slow 'Cause it's late and your mama don't know Our song is the way you laugh The first date: "Man, I didn't kiss her, when I should have." And when I got home ... 'fore I said, "Amen" Asking God if he could play it again  I was walking up The front porch steps After everything that day Had gone all wrong And been trampled on And lost and thrown away Got to the hallway, Well, on my way To my lovin' bed I almost didn't notice All the roses And the note that said...  Our song is the slamming screen door Sneakin' out late, tapping on your window When we're on the phone and you talk real slow 'Cause it's late and your mama don't know Our song is the way you laugh The first date: "Man, I didn't kiss her, when I should have" And when I got home ... 'fore I said, "Amen" Asking God if he could play it again  I've heard every album, listened to the radio Waited for something to come along That was as good as our song...  'Cause our song is the slamming screen door Sneakin' out late, tapping on his window When we're on the phone and he talks real slow 'Cause it's late and his mama don't know Our song is the way he laughs The first date: "Man, I didn't kiss him, when I should have" And when I got home ... 'fore I said, "Amen" Asking God if he could play it again Play it again  Oh, yeah... Oh-oh, yeah  I was riding shotgun With my hair undone In the front seat of his car I grabbed a pen And an old napkin And I wrote down our song|Country
